review_id,order_id,customer_id,rating,review_text,review_date
1,4,13,3,Delivery was a bit slow but worth it.,2024-06-01
2,6,1,5,"Not bad, portion sizes could be bigger.",2024-05-10
3,8,13,3,"Really tasty, will order again.",2024-01-16
4,10,2,5,"Great food, arrived hot!",2024-01-10
5,11,10,4,"Arrived on time, great experience.",2024-03-15
6,12,4,5,Good value for money.,2024-06-09
7,18,11,4,Delivery was a bit slow but worth it.,2024-04-14
8,22,4,4,Food was warm and fresh.,2024-06-15
9,25,7,5,"Arrived on time, great experience.",2024-03-14
10,26,2,5,Delivery was a bit slow but worth it.,2024-03-31
11,29,8,4,"Not bad, portion sizes could be bigger.",2024-04-11
12,34,11,5,"Really tasty, will order again.",2024-05-24
13,36,10,4,"Not bad, portion sizes could be bigger.",2024-02-19
14,38,2,5,"Arrived on time, great experience.",2024-02-24
15,45,13,5,"Absolutely delicious, highly recommend!",2024-01-19
16,46,7,4,Driver was very friendly.,2024-06-11
17,49,2,4,"Not bad, portion sizes could be bigger.",2024-04-08
