review_id,trip_id,customer_id,rating,comment,review_date
1,1,3,4,"Smooth ride, driver was punctual.",2024-04-09
2,2,7,4,"Smooth ride, driver was punctual.",2024-02-22
3,3,2,5,Will use again.,2024-05-17
4,6,5,3,Car was clean and comfortable.,2024-03-04
5,8,1,4,"Great driver, very safe.",2024-02-07
6,9,9,5,Arrived a little late but friendly.,2024-05-30
7,10,11,4,Good experience overall.,2024-03-21
8,11,5,5,Good experience overall.,2024-06-29
9,14,12,5,"Great driver, very safe.",2024-04-15
10,16,6,4,Car was clean and comfortable.,2024-01-09
11,20,1,4,Will use again.,2024-05-13
12,21,9,4,"Smooth ride, driver was punctual.",2024-05-02
13,23,5,5,"Great driver, very safe.",2024-04-26
14,25,6,5,"Smooth ride, driver was punctual.",2024-01-16
15,27,1,5,Arrived a little late but friendly.,2024-05-11
16,32,10,4,Car was clean and comfortable.,2024-04-03
17,35,9,5,Comfortable and on time.,2024-04-26
18,36,2,3,Perfect trip.,2024-01-12
19,38,4,3,Arrived a little late but friendly.,2024-02-22
20,39,9,5,Arrived a little late but friendly.,2024-05-15
21,40,2,3,Will use again.,2024-02-08
22,41,2,5,Good experience overall.,2024-05-23
23,42,7,5,Perfect trip.,2024-05-20
24,45,11,3,"Smooth ride, driver was punctual.",2024-04-10
25,48,8,5,Driver took a good route.,2024-06-27
26,49,11,3,"Smooth ride, driver was punctual.",2024-01-21
27,50,11,4,"Great driver, very safe.",2024-05-02
